,obs,action
31,"[[[ 1.          0.8708028   0.          0.25823045  0.        ]
  [ 1.          0.10094378  0.6666667  -0.01283581  0.        ]
  [ 1.          0.22537509  0.33333334 -0.00813662  0.        ]
  [ 1.          0.3252521   0.6666667   0.0028982   0.        ]
  [ 1.          0.4437179   0.33333334 -0.04929836  0.        ]]]",[4]
32,"[[[ 1.          0.972518    0.          0.25108385  0.        ]
  [ 1.          0.09579735  0.6666667  -0.01393161  0.        ]
  [ 1.          0.21882878  0.33333334 -0.02817556  0.        ]
  [ 1.          0.327785    0.6666667   0.00891242  0.        ]
  [ 1.          0.42040554  0.33333334 -0.05043313  0.        ]]]",[4]
33,"[[[ 1.          1.          0.          0.25014272  0.        ]
  [ 1.          0.08990479  0.6666667  -0.0155873   0.        ]
  [ 1.          0.20582928  0.33333334 -0.03679682  0.        ]
  [ 1.          0.3314475   0.6666667   0.00923681  0.        ]
  [ 1.          0.40344098  0.33333334 -0.03191746  0.        ]]]",[4]
34,"[[[ 1.          1.          0.          0.2500188   0.        ]
  [ 1.          0.08361918  0.6666667  -0.01564274  0.        ]
  [ 1.          0.19082256  0.33333334 -0.03754777  0.        ]
  [ 1.          0.33510646  0.6666667   0.00900179  0.        ]
  [ 1.          0.39279112  0.33333334 -0.01973638  0.        ]]]",[4]
35,"[[[ 1.          1.          0.          0.25000247  0.        ]
  [ 1.          0.07748424  0.6666667  -0.01475665  0.        ]
  [ 1.          0.17618485  0.33333334 -0.03473763  0.        ]
  [ 1.          0.3386716   0.6666667   0.00879256  0.        ]
  [ 1.          0.38624987  0.33333334 -0.01202018  0.        ]]]",[4]
36,"[[[ 1.          1.          0.          0.25000033  0.        ]
  [ 1.          0.07177968  0.6666667  -0.01347665  0.        ]
  [ 1.          0.16292289  0.33333334 -0.03067777  0.        ]
  [ 1.          0.34216315  0.6666667   0.00864378  0.        ]
  [ 1.          0.38226607  0.33333334 -0.0073552   0.        ]]]",[4]
37,"[[[ 1.          1.          0.          0.25000003  0.        ]
  [ 1.          0.0666095   0.6666667  -0.01209658  0.        ]
  [ 1.          0.15132418  0.33333334 -0.02652415  0.        ]
  [ 1.          0.34560254  0.6666667   0.0085372   0.        ]
  [ 1.          0.37980732  0.33333334 -0.0046346   0.        ]]]",[4]
38,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.0619879   0.6666667  -0.01075582  0.        ]
  [ 1.          0.14133042  0.33333334 -0.02278152  0.        ]
  [ 1.          0.34900397  0.6666667   0.00845731  0.        ]
  [ 1.          0.37822908  0.33333334 -0.00308958  0.        ]]]",[4]
39,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.05788807  0.6666667  -0.00951242  0.        ]
  [ 1.          0.1327443   0.33333334 -0.01960764  0.        ]
  [ 1.          0.35237637  0.6666667   0.00839424  0.        ]
  [ 1.          0.37714693  0.33333334 -0.00223151  0.        ]]]",[4]
40,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.05426739  0.6666667  -0.00838394  0.        ]
  [ 1.          0.12533641  0.33333334 -0.01699359  0.        ]
  [ 1.          0.3557254   0.6666667   0.00834182  0.        ]
  [ 1.          0.37633803  0.33333334 -0.00176624  0.        ]]]",[4]
41,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.05107971  0.6666667  -0.00736906  0.        ]
  [ 1.          0.11889371  0.33333334 -0.01486439  0.        ]
  [ 1.          0.35905468  0.6666667   0.00829618  0.        ]
  [ 1.          0.37567577  0.33333334 -0.00152226  0.        ]]]",[4]
42,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.04828092  0.6666667  -0.00645852  0.        ]
  [ 1.          0.1132367   0.33333334 -0.01312993  0.        ]
  [ 1.          0.36236644  0.6666667   0.00825489  0.        ]
  [ 1.          0.37508908  0.33333334 -0.00140131  0.        ]]]",[4]
43,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.04583115  0.6666667  -0.00564061  0.        ]
  [ 1.          0.10822114  0.33333334 -0.01170726  0.        ]
  [ 1.          0.36566216  0.6666667   0.00821644  0.        ]
  [ 1.          0.37453866  0.33333334 -0.0013477   0.        ]]]",[4]
44,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.04369523  0.6666667  -0.00490364  0.        ]
  [ 1.          0.10373378  0.33333334 -0.01052791  0.        ]
  [ 1.          0.36894286  0.6666667   0.0081799   0.        ]
  [ 1.          0.37400323  0.33333334 -0.00132995  0.        ]]]",[4]
45,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.04184254  0.6666667  -0.00423694  0.        ]
  [ 1.          0.0996863   0.33333334 -0.00953831  0.        ]
  [ 1.          0.37220913  0.6666667   0.00814473  0.        ]
  [ 1.          0.3734716   0.33333334 -0.00133032  0.        ]]]",[4]
