,obs,action
498,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e-01
    0.00000000e+00]
  [ 1.00000000e+00 -8.43538623e-03  3.33333343e-01 -1.43790534e-02
    0.00000000e+00]
  [ 1.00000000e+00  1.45850942e-01  6.66666687e-01  1.16928466e-04
    0.00000000e+00]
  [ 1.00000000e+00  2.52993107e-01  3.33333343e-01 -2.34235264e-02
    0.00000000e+00]
  [ 1.00000000e+00  4.85647678e-01  3.33333343e-01 -2.27837302e-02
    0.00000000e+00]]]",[4]
499,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00 -1.4349687e-02  3.3333334e-01 -1.5366921e-02
    0.0000000e+00]
  [ 1.0000000e+00  1.4596365e-01  6.6666669e-01  5.2383705e-04
    0.0000000e+00]
  [ 1.0000000e+00  2.4367128e-01  3.3333334e-01 -2.3105955e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.7668847e-01  3.3333334e-01 -2.1831149e-02
    0.0000000e+00]]]",[4]
500,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00 -2.0635908e-02  3.3333334e-01 -1.6209314e-02
    0.0000000e+00]
  [ 1.0000000e+00  1.4623508e-01  6.6666669e-01  9.0595114e-04
    0.0000000e+00]
  [ 1.0000000e+00  2.3449135e-01  3.3333334e-01 -2.2700515e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.6810123e-01  3.3333334e-01 -2.0934086e-02
    0.0000000e+00]]]",[4]
501,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.02723583  0.33333334 -0.01690691  0.        ]
  [ 1.          0.1466557   0.6666667   0.00126574  0.        ]
  [ 1.          0.22548467  0.33333334 -0.02222996  0.        ]
  [ 1.          0.45986462  0.33333334 -0.02008736  0.        ]]]",[4]
502,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.03409215  0.33333334 -0.01746428  0.        ]
  [ 1.          0.14721695  0.6666667   0.0016053   0.        ]
  [ 1.          0.2166742   0.33333334 -0.02171283  0.        ]
  [ 1.          0.45195922  0.33333334 -0.01928625  0.        ]]]",[4]
503,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.04114993  0.33333334 -0.01788906  0.        ]
  [ 1.          0.14791101  0.6666667   0.00192644  0.        ]
  [ 1.          0.20807606  0.33333334 -0.02116398  0.        ]
  [ 1.          0.44436756  0.33333334 -0.01852658  0.        ]]]",[4]
504,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.         -0.04835762  0.33333334 -0.01819104  0.        ]
  [ 1.          0.14873078  0.6666667   0.00223075  0.        ]
  [ 1.          0.19970101  0.33333334 -0.02059514  0.        ]
  [ 1.          0.4370736   0.33333334 -0.01780464  0.        ]]]",[4]
505,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.14966978  0.6666667   0.0025196   0.        ]
  [ 1.          0.19155547  0.33333334 -0.02001546  0.        ]
  [ 1.          0.43006277  0.33333334 -0.01711716  0.        ]
  [ 1.          0.49511418  0.          0.00140805  0.        ]]]",[4]
506,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.150722    0.6666667   0.00279424  0.        ]
  [ 1.          0.18364263  0.33333334 -0.01943193  0.        ]
  [ 1.          0.4233218   0.33333334 -0.01646128  0.        ]
  [ 1.          0.49572137  0.          0.00167924  0.        ]]]",[4]
507,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.15188193  0.6666667   0.00305576  0.        ]
  [ 1.          0.1759631   0.33333334 -0.01884986  0.        ]
  [ 1.          0.4168385   0.33333334 -0.01583444  0.        ]
  [ 1.          0.49643424  0.          0.00193331  0.        ]]]",[4]
508,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.15314452  0.6666667   0.00330515  0.        ]
  [ 1.          0.16851565  0.33333334 -0.01827319  0.        ]
  [ 1.          0.41060156  0.33333334 -0.01523442  0.        ]
  [ 1.          0.49724618  0.          0.00217181  0.        ]]]",[4]
509,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.15450503  0.6666667   0.00354329  0.        ]
  [ 1.          0.16129762  0.33333334 -0.01770478  0.        ]
  [ 1.          0.4046006   0.33333334 -0.0146592   0.        ]
  [ 1.          0.49815124  0.          0.0023961   0.        ]]]",[4]
510,"[[[ 1.          0.77562416  0.          0.3125      0.        ]
  [ 1.          0.11640178  0.         -0.02089145  0.        ]
  [ 1.          0.2256159   0.6666667  -0.04256057  0.        ]
  [ 1.          0.3342777   0.6666667  -0.03798812  0.        ]
  [ 1.          0.44872501  0.6666667  -0.0264463   0.        ]]]",[4]
511,"[[[ 1.          0.88864887  0.          0.25823045  0.        ]
  [ 1.          0.11898793  0.          0.02752479  0.        ]
  [ 1.          0.20777321  0.5816291  -0.07930634 -0.07737923]
  [ 1.          0.31860235  0.57998365 -0.05328283  0.01840306]
  [ 1.          0.43694088  0.5005719  -0.04960767 -0.06185363]]]",[4]
512,"[[[ 1.          0.990364    0.          0.25108385  0.        ]
  [ 1.          0.13094626  0.          0.03107112  0.        ]
  [ 1.          0.17968613  0.35984433 -0.05688376 -0.01070232]
  [ 1.          0.2945499   0.65716    -0.05155811  0.00388326]
  [ 1.          0.4211733   0.3474562  -0.0271375  -0.00595949]]]",[4]
513,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5014272e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.4317979e-01  0.0000000e+00  2.9689796e-02
    0.0000000e+00]
  [ 1.0000000e+00  1.5954842e-01  3.3577618e-01 -4.1932199e-02
   -1.0042171e-03]
  [ 1.0000000e+00  2.7705872e-01  6.6583872e-01 -3.3620890e-02
    3.4546098e-04]
  [ 1.0000000e+00  4.1242048e-01  3.3436897e-01 -1.5490965e-02
   -4.4270378e-04]]]",[4]
514,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5001881e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.4454825e-01  3.3353788e-01 -3.1565882e-02
   -8.5199841e-05]
  [ 1.0000000e+00  1.5481532e-01  0.0000000e+00  2.8259054e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.6560360e-01  6.6660225e-01 -2.2223100e-02
    2.7242395e-05]
  [ 1.0000000e+00  4.0737522e-01  3.3340433e-01 -9.0194987e-03
   -3.0585103e-05]]]",[4]
515,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000247e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.3316858e-01  3.3334932e-01 -2.4311543e-02
   -6.7175042e-06]
  [ 1.0000000e+00  1.6593784e-01  0.0000000e+00  2.7194999e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.5794736e-01  6.6666198e-01 -1.5228137e-02
    1.9882632e-06]
  [ 1.0000000e+00  4.0442526e-01  3.3333802e-01 -5.3171753e-03
   -2.0243942e-06]]]",[4]
516,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000033e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.2429875e-01  3.3333454e-01 -1.9352244e-02
   -5.0322461e-07]
  [ 1.0000000e+00  1.7668353e-01  0.0000000e+00  2.6413716e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.5258934e-01  6.6666633e-01 -1.1086831e-02
    1.3843706e-07]
  [ 1.0000000e+00  4.0267721e-01  3.3333364e-01 -3.1785793e-03
   -1.3069136e-07]]]",[4]
517,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000003e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.1713837e-01  3.3333343e-01 -1.5980301e-02
   -3.6402696e-08]
  [ 1.0000000e+00  1.8714891e-01  0.0000000e+00  2.5817133e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.4858341e-01  6.6666663e-01 -8.6634895e-03
    9.3749000e-09]
  [ 1.0000000e+00  4.0162942e-01  3.3333334e-01 -1.9057055e-03
   -8.3146068e-09]]]",[4]
518,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e-01
    0.00000000e+00]
  [ 1.00000000e+00  1.11145556e-01  3.33333343e-01 -1.36491591e-02
   -2.57097366e-09]
  [ 1.00000000e+00  1.97396040e-01  0.00000000e+00  2.53369082e-02
    0.00000000e+00]
  [ 1.00000000e+00  2.45371938e-01  6.66666687e-01 -7.21924752e-03
    6.24558183e-10]
  [ 1.00000000e+00  4.01006550e-01  3.33333343e-01 -1.10128976e-03
   -5.24271515e-10]]]",[4]
519,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e-01
    0.00000000e+00]
  [ 1.00000000e+00  1.05969645e-01  3.33333343e-01 -1.19791701e-02
   -1.78545179e-10]
  [ 1.00000000e+00  2.07463682e-01  0.00000000e+00  2.49284096e-02
    0.00000000e+00]
  [ 1.00000000e+00  2.42641628e-01  6.66666687e-01 -6.31284574e-03
    4.11961576e-11]
  [ 1.00000000e+00  4.00660574e-01  3.33333343e-01 -5.45690651e-04
   -3.28643779e-11]]]",[4]
520,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.0138919e-01  3.3333334e-01 -1.0723936e-02
   -1.2247314e-11]
  [ 1.0000000e+00  2.1737552e-01  0.0000000e+00  2.4562785e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.4022198e-01  6.6666669e-01 -5.6943987e-03
    2.6998404e-12]
  [ 1.0000000e+00  4.0051332e-01  3.3333334e-01 -1.1995453e-04
   -2.0513591e-12]]]",[4]
521,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.7265258e-02  3.3333334e-01 -9.7298324e-03
   -8.3222318e-13]
  [ 1.0000000e+00  2.2714546e-01  0.0000000e+00  2.4221431e-02
    0.0000000e+00]
  [ 1.0000000e+00  2.3802237e-01  6.6666669e-01 -5.2270745e-03
    1.7630342e-13]
  [ 1.0000000e+00  4.0052429e-01  3.3333334e-01  2.3941815e-04
   -1.2756463e-13]]]",[4]
522,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e-01
    0.00000000e+00]
  [ 1.00000000e+00  9.35098827e-02  3.33333343e-01 -8.90309457e-03
   -5.61772850e-14]
  [ 1.00000000e+00  2.35995576e-01  6.66666687e-01 -4.83769318e-03
    1.15463195e-14]
  [ 1.00000000e+00  2.36781135e-01  0.00000000e+00  2.38924045e-02
    0.00000000e+00]
  [ 1.00000000e+00  4.00673002e-01  3.33333343e-01  5.65831782e-04
   -7.77156117e-15]]]",[4]
523,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  9.0066120e-02  3.3333334e-01 -8.1869662e-03
   -3.7747583e-15]
  [ 1.0000000e+00  2.3411734e-01  6.6666669e-01 -4.4878880e-03
    6.6613381e-16]
  [ 1.0000000e+00  2.4628615e-01  0.0000000e+00  2.3568099e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.0094936e-01  3.3333334e-01  8.7644788e-04
   -3.3306691e-16]]]",[4]
524,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  8.6895764e-02  3.3333334e-01 -7.5470158e-03
   -2.2204460e-16]
  [ 1.0000000e+00  2.3237541e-01  6.6666669e-01 -4.1579655e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.5566155e-01  0.0000000e+00  2.3243735e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.0134862e-01  3.3333334e-01  1.1796774e-03
    0.0000000e+00]]]",[4]
525,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.08397205  0.33333334 -0.00696213  0.        ]
  [ 1.          0.23076364  0.6666667  -0.0038381   0.        ]
  [ 1.          0.2649068   0.          0.02291635  0.        ]
  [ 1.          0.40186852  0.33333334  0.00147924  0.        ]]]",[4]
526,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.08127527  0.33333334 -0.00641913  0.        ]
  [ 1.          0.22927885  0.6666667  -0.00352361  0.        ]
  [ 1.          0.27402034  0.          0.02258418  0.        ]
  [ 1.          0.4025078   0.33333334  0.00177637  0.        ]]]",[4]
527,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.07879012  0.33333334 -0.00590952  0.        ]
  [ 1.          0.22791928  0.6666667  -0.00321244  0.        ]
  [ 1.          0.28300014  0.          0.02224621  0.        ]
  [ 1.          0.4032656   0.33333334  0.00207106  0.        ]]]",[4]
528,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.07650422  0.33333334 -0.0054277   0.        ]
  [ 1.          0.22668375  0.6666667  -0.00290387  0.        ]
  [ 1.          0.29184374  0.          0.02190192  0.        ]
  [ 1.          0.4041408   0.33333334  0.0023627   0.        ]]]",[4]
529,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.07440712  0.33333334 -0.00496978  0.        ]
  [ 1.          0.22557124  0.6666667  -0.00259783  0.        ]
  [ 1.          0.3005486   0.          0.02155109  0.        ]
  [ 1.          0.40513206  0.33333334  0.00265049  0.        ]]]",[4]
530,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.07248974  0.33333334 -0.00453295  0.        ]
  [ 1.          0.22458073  0.6666667  -0.00229453  0.        ]
  [ 1.          0.30911207  0.          0.02119374  0.        ]
  [ 1.          0.40623772  0.33333334  0.0029336   0.        ]]]",[4]
531,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.070744    0.33333334 -0.00411509  0.        ]
  [ 1.          0.22371107  0.6666667  -0.00199429  0.        ]
  [ 1.          0.31753156  0.          0.02082999  0.        ]
  [ 1.          0.40745577  0.33333334  0.00321131  0.        ]]]",[4]
532,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.06916258  0.33333334 -0.00371454  0.        ]
  [ 1.          0.22296096  0.6666667  -0.00169748  0.        ]
  [ 1.          0.32580456  0.          0.02046008  0.        ]
  [ 1.          0.40878397  0.33333334  0.00348304  0.        ]]]",[4]
533,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.06773879  0.33333334 -0.00332995  0.        ]
  [ 1.          0.22232898  0.6666667  -0.00140442  0.        ]
  [ 1.          0.33392867  0.          0.02008432  0.        ]
  [ 1.          0.41021985  0.33333334  0.00374835  0.        ]]]",[4]
534,"[[[ 1.          1.          0.          0.25        0.        ]
  [ 1.          0.06646643  0.33333334 -0.00296017  0.        ]
  [ 1.          0.22181359  0.6666667  -0.00111543  0.        ]
  [ 1.          0.34190157  0.          0.01970308  0.        ]
  [ 1.          0.41176078  0.33333334  0.00400694  0.        ]]]",[4]
535,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  6.5339744e-02  3.3333334e-01 -2.6042142e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.2141311e-01  6.6666669e-01 -8.3075516e-04
    0.0000000e+00]
  [ 1.0000000e+00  3.4972113e-01  0.0000000e+00  1.9316752e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.1340405e-01  3.3333334e-01  4.2586559e-03
    0.0000000e+00]]]",[4]
536,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  6.4353339e-02  3.3333334e-01 -2.2612098e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.2112577e-01  6.6666669e-01 -5.5062631e-04
    0.0000000e+00]
  [ 1.0000000e+00  3.5738543e-01  0.0000000e+00  1.8925808e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.1514692e-01  3.3333334e-01  4.5034420e-03
    0.0000000e+00]]]",[4]
537,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  6.3502170e-02  3.3333334e-01 -1.9303769e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.2094974e-01  6.6666669e-01 -2.7521461e-04
    0.0000000e+00]
  [ 1.0000000e+00  3.6489266e-01  0.0000000e+00  1.8530738e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.1698655e-01  3.3333334e-01  4.7413390e-03
    0.0000000e+00]]]",[4]
538,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  6.2781475e-02  3.3333334e-01 -1.6110069e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.2088310e-01  6.6666669e-01 -4.6570508e-06
    0.0000000e+00]
  [ 1.0000000e+00  3.7224126e-01  0.0000000e+00  1.8132068e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.1892031e-01  3.3333334e-01  4.9724597e-03
    0.0000000e+00]]]",[4]
539,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  6.2186774e-02  3.3333334e-01 -1.3024518e-03
    0.0000000e+00]
  [ 1.0000000e+00  2.2092390e-01  6.6666669e-01  2.6094465e-04
    0.0000000e+00]
  [ 1.0000000e+00  3.7942991e-01  0.0000000e+00  1.7730368e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.2094541e-01  3.3333334e-01  5.1969732e-03
    0.0000000e+00]]]",[4]
540,"[[[ 1.          0.75651824  0.          0.3125      0.        ]
  [ 1.          0.12130123  0.         -0.02491606  0.        ]
  [ 1.          0.23037498  0.6666667  -0.0393734   0.        ]
  [ 1.          0.36022985  0.         -0.03218448  0.        ]
  [ 1.          0.48232806  0.6666667  -0.03414825  0.        ]]]",[4]
541,"[[[ 1.          0.8695429   0.          0.25823045  0.        ]
  [ 1.          0.11748144  0.16303936 -0.00417936  0.06600354]
  [ 1.          0.22217047  0.5968459  -0.02419589 -0.08150899]
  [ 1.          0.35899568  0.          0.01823495  0.        ]
  [ 1.          0.4678686   0.49917787 -0.05413723 -0.06122098]]]",[4]
542,"[[[ 1.          0.9712581   0.          0.25108385  0.        ]
  [ 1.          0.11827277  0.02256572  0.0010736  -0.00973418]
  [ 1.          0.21495533  0.35436818 -0.02162966 -0.00873558]
  [ 1.          0.3669933   0.          0.02017932  0.        ]
  [ 1.          0.44785732  0.43903694 -0.07095654  0.07628517]]]",[4]
543,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5014272e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.1822298e-01  1.4161943e-03 -1.8497274e-03
   -6.1368063e-04]
  [ 1.0000000e+00  2.0431478e-01  3.3498061e-01 -2.4593567e-02
   -6.9551129e-04]
  [ 1.0000000e+00  3.7457037e-01  0.0000000e+00  1.6918568e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.2549443e-01  6.4454567e-01 -4.1910660e-02
    9.1448911e-03]]]",[4]
544,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5001881e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.1717937e-01  9.0359237e-05 -3.4563218e-03
   -3.9096885e-05]
  [ 1.0000000e+00  1.9642830e-01  3.3345252e-01 -1.3277526e-02
   -5.1157771e-05]
  [ 1.0000000e+00  3.8092020e-01  0.0000000e+00  1.4460925e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.1138726e-01  6.6485786e-01 -2.6805755e-02
    7.6140329e-04]]]",[4]
545,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000247e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.1569293e-01  5.8112796e-06 -3.9501088e-03
   -2.5140562e-06]
  [ 1.0000000e+00  1.9244215e-01  3.3334133e-01 -5.5539645e-03
   -3.4626544e-06]
  [ 1.0000000e+00  3.8633436e-01  0.0000000e+00  1.2214987e-02
    0.0000000e+00]
  [ 1.0000000e+00  4.0230644e-01  6.6653228e-01 -1.7526576e-02
    5.7191959e-05]]]",[4]
546,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000033e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.1411206e-01  3.7415026e-07 -3.8773655e-03
   -1.6193927e-07]
  [ 1.0000000e+00  1.9108027e-01  3.3333385e-01 -7.0654083e-04
   -2.2150761e-07]
  [ 1.0000000e+00  3.9091569e-01  0.0000000e+00  1.0407924e-02
    0.0000000e+00]
  [ 1.0000000e+00  3.9625579e-01  6.6665721e-01 -1.1803785e-02
    4.0424247e-06]]]",[4]
547,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000030e-01
    0.00000000e+00]
  [ 1.00000000e+00  1.12611704e-01  2.40361739e-08 -3.52302776e-03
   -1.04113775e-08]
  [ 1.00000000e+00  1.91294387e-01  3.33333373e-01  2.08909344e-03
   -1.37027536e-08]
  [ 1.00000000e+00  3.92324001e-01  6.66666031e-01 -7.04434514e-03
    2.73733122e-07]
  [ 1.00000000e+00  3.94849747e-01  0.00000000e+00  9.06060170e-03
    0.00000000e+00]]]",[4]
548,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.1127787e-01  1.5382706e-09 -3.0348648e-03
   -6.6691863e-10]
  [ 1.0000000e+00  1.9241501e-01  3.3333334e-01  3.6938356e-03
   -8.3141316e-10]
  [ 1.0000000e+00  3.9015439e-01  6.6666663e-01 -3.1675934e-03
    1.7851239e-08]
  [ 1.0000000e+00  3.9830771e-01  0.0000000e+00  8.0856681e-03
    0.0000000e+00]]]",[4]
549,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.1014980e-01  9.8002273e-11 -2.4926893e-03
   -4.2529757e-11]
  [ 1.0000000e+00  1.9405727e-01  3.3333334e-01  4.6244101e-03
   -4.9883653e-11]
  [ 1.0000000e+00  3.8940024e-01  6.6666669e-01 -1.1637983e-04
    1.1291168e-09]
  [ 1.0000000e+00  4.0142256e-01  0.0000000e+00  7.3852129e-03
    0.0000000e+00]]]",[4]
550,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.0924117e-01  6.2139183e-12 -1.9410531e-03
   -2.6991742e-12]
  [ 1.0000000e+00  1.9600442e-01  3.3333334e-01  5.1777903e-03
   -2.9732883e-12]
  [ 1.0000000e+00  3.8974980e-01  6.6666669e-01  2.2335474e-03
    6.9722450e-11]
  [ 1.0000000e+00  4.0429032e-01  0.0000000e+00  6.8773380e-03
    0.0000000e+00]]]",[4]
551,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.0855128e-01  3.9235282e-13 -1.4050486e-03
   -1.7053026e-13]
  [ 1.0000000e+00  1.9813529e-01  3.3333334e-01  5.5202325e-03
   -1.7641444e-13]
  [ 1.0000000e+00  3.9094579e-01  6.6666669e-01  4.0279552e-03
    4.2261750e-12]
  [ 1.0000000e+00  4.0697759e-01  0.0000000e+00  6.5008737e-03
    0.0000000e+00]]]",[4]
552,"[[[ 1.00000000e+00  1.00000000e+00  0.00000000e+00  2.50000000e-01
    0.00000000e+00]
  [ 1.00000000e+00  1.08071409e-01  2.46469511e-14 -8.98393220e-04
   -1.06581410e-14]
  [ 1.00000000e+00  2.00381950e-01  3.33333343e-01  5.74372755e-03
   -1.04360964e-14]
  [ 1.00000000e+00  3.92788351e-01  6.66666687e-01  5.40198013e-03
    2.52464716e-13]
  [ 1.00000000e+00  4.09529597e-01  0.00000000e+00  6.21303590e-03
    0.00000000e+00]]]",[4]
553,"[[[ 1.0000000e+00  1.0000000e+00  0.0000000e+00  2.5000000e-01
    0.0000000e+00]
  [ 1.0000000e+00  1.0778855e-01  1.5543122e-15 -4.2786417e-04
   -6.6613381e-16]
  [ 1.0000000e+00  2.0270593e-01  3.3333334e-01  5.8990922e-03
   -5.5511151e-16]
  [ 1.0000000e+00  3.9512783e-01  6.6666669e-01  6.4660241e-03
    1.4876989e-14]
  [ 1.0000000e+00  4.1197678e-01  0.0000000e+00  5.9853015e-03
    0.0000000e+00]]]",[4]
554,"[[[1.0000000e+00 1.0000000e+00 0.0000000e+00 2.5000000e-01 0.0000000e+00]
  [1.0000000e+00 1.0768776e-01 2.2204460e-16 4.0877821e-06 0.0000000e+00]
  [1.0000000e+00 2.0508502e-01 3.3333334e-01 6.0145734e-03 0.0000000e+00]
  [1.0000000e+00 3.9785442e-01 6.6666669e-01 7.3037306e-03 8.8817842e-16]
  [1.0000000e+00 4.1434005e-01 0.0000000e+00 5.7994146e-03 0.0000000e+00]]]",[4]
555,"[[[1.00000000e+00 1.00000000e+00 0.00000000e+00 2.50000000e-01
   0.00000000e+00]
  [1.00000000e+00 1.07753575e-01 2.22044605e-16 3.97702592e-04
   0.00000000e+00]
  [1.00000000e+00 2.07506076e-01 3.33333343e-01 6.10608980e-03
   0.00000000e+00]
  [1.00000000e+00 4.00887936e-01 6.66666687e-01 7.97562860e-03
   0.00000000e+00]
  [1.00000000e+00 4.16634113e-01 0.00000000e+00 5.64411748e-03
   0.00000000e+00]]]",[4]
556,"[[[1.0000000e+00 1.0000000e+00 0.0000000e+00 2.5000000e-01 0.0000000e+00]
  [1.0000000e+00 1.0797092e-01 2.2204460e-16 7.5484259e-04 0.0000000e+00]
  [1.0000000e+00 2.0996116e-01 3.3333334e-01 6.1827987e-03 0.0000000e+00]
  [1.0000000e+00 4.0416941e-01 6.6666669e-01 8.5243713e-03 0.0000000e+00]
  [1.0000000e+00 4.1887003e-01 0.0000000e+00 5.5127107e-03 0.0000000e+00]]]",[4]
557,"[[[1.00000000e+00 1.00000000e+00 0.00000000e+00 2.50000000e-01
   0.00000000e+00]
  [1.00000000e+00 1.08325645e-01 2.22044605e-16 1.07828015e-03
   0.00000000e+00]
  [1.00000000e+00 2.12445289e-01 3.33333343e-01 6.25011465e-03
   0.00000000e+00]
  [1.00000000e+00 4.07654613e-01 6.66666687e-01 8.97964556e-03
   0.00000000e+00]
  [1.00000000e+00 4.21056688e-01 0.00000000e+00 5.40132495e-03
   0.00000000e+00]]]",[4]
558,"[[[1.0000000e+00 1.0000000e+00 0.0000000e+00 2.5000000e-01 0.0000000e+00]
  [1.0000000e+00 1.0880475e-01 2.2204460e-16 1.3712237e-03 0.0000000e+00]
  [1.0000000e+00 2.1495529e-01 3.3333334e-01 6.3113491e-03 0.0000000e+00]
  [1.0000000e+00 4.1130972e-01 6.6666669e-01 9.3620885e-03 0.0000000e+00]
  [1.0000000e+00 4.2320171e-01 0.0000000e+00 5.3077666e-03 0.0000000e+00]]]",[4]
559,"[[[1.0000000e+00 1.0000000e+00 0.0000000e+00 2.5000000e-01 0.0000000e+00]
  [1.0000000e+00 1.0939658e-01 2.2204460e-16 1.6370071e-03 0.0000000e+00]
  [1.0000000e+00 2.1748909e-01 3.3333334e-01 6.3686036e-03 0.0000000e+00]
  [1.0000000e+00 4.1510808e-01 6.6666669e-01 9.6861729e-03 0.0000000e+00]
  [1.0000000e+00 4.2531198e-01 0.0000000e+00 5.2307714e-03 0.0000000e+00]]]",[4]
